"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-02-21T16:51:52.981+08:00[Asia/Shanghai]","0.0","68.59"
"Voucher entries","Voucher entry credit memo","SUCCESS","2023-02-21T16:53:02.36+08:00[Asia/Shanghai]","0.0","155.62"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-02-21T16:55:38.795+08:00[Asia/Shanghai]","0.0","68.37"
"Account recon","Refresh accounts","SUCCESS","2023-02-21T16:57:13.356+08:00[Asia/Shanghai]","0.0","101.72"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2023-02-21T16:58:56.076+08:00[Asia/Shanghai]","0.0","60.18"
"Batch posting","Batch posting voiding process","SUCCESS","2023-02-21T16:59:57.265+08:00[Asia/Shanghai]","0.0","149.71"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-02-21T17:02:27.776+08:00[Asia/Shanghai]","0.0","131.55"
"General ledger entries","Create general ledger entry using sustainability accounts","FAILURE","2023-02-21T17:04:41.339+08:00[Asia/Shanghai]","0.0","102.12"
"General ledger entries","Create general ledger entry","SUCCESS","2023-02-21T17:06:24.25+08:00[Asia/Shanghai]","0.0","138.35"
"Inquiry and reports","Order inquiry and update","ERROR","2023-02-21T17:08:44.768+08:00[Asia/Shanghai]","0.0","187.39"
"Internal transfer","Create internal transfer entry","SUCCESS","2023-02-21T17:11:53.284+08:00[Asia/Shanghai]","0.0","90.43"
"Monthly statistical entries","Create monthly statistical entry","SUCCESS","2023-02-21T17:13:24.771+08:00[Asia/Shanghai]","0.0","60.33"
"Salary advance","Create salary advance entry","SUCCESS","2023-02-21T17:14:26.08+08:00[Asia/Shanghai]","0.0","98.02"
"Working advance","Create working advance entry","SUCCESS","2023-02-21T17:16:05.129+08:00[Asia/Shanghai]","0.0","97.15"
"Lease creation","Create and edit pending lease","IGNORED","2023-02-21T17:17:43.313+08:00[Asia/Shanghai]","0.0","0.63"
"Lease creation","Create and search pending lease","IGNORED","2023-02-21T17:17:44.058+08:00[Asia/Shanghai]","0.0","0.31"
"Lease creation","Create pending lease","IGNORED","2023-02-21T17:17:44.468+08:00[Asia/Shanghai]","0.0","0.29"
